#       Energy(Ry)            Total                 X                  Y                   Z
      0.30000000E-01      0.17901215E-03      0.80671356E-04      0.80587050E-04      0.17753751E-04
      0.31000000E-01      0.18581004E-03      0.83732353E-04      0.83644930E-04      0.18432760E-04
      0.32000000E-01      0.19266732E-03      0.86819923E-04      0.86729361E-04      0.19118039E-04
      0.33000000E-01      0.19958459E-03      0.89934331E-04      0.89840608E-04      0.19809655E-04
      0.34000000E-01      0.20656246E-03      0.93075845E-04      0.92978939E-04      0.20507676E-04
      0.35000000E-01      0.21360153E-03      0.96244737E-04      0.96144627E-04      0.21212170E-04
      0.36000000E-01      0.22070243E-03      0.99441281E-04      0.99337945E-04      0.21923207E-04
      0.37000000E-01      0.22786578E-03      0.10266576E-03      0.10255917E-03      0.22640855E-04
      0.38000000E-01      0.23509221E-03      0.10591844E-03      0.10580859E-03      0.23365187E-04
      0.39000000E-01      0.24238238E-03      0.10919963E-03      0.10908648E-03      0.24096275E-04
      0.40000000E-01      0.24973692E-03      0.11250960E-03      0.11239313E-03      0.24834190E-04
      0.41000000E-01      0.25715649E-03      0.11584864E-03      0.11572884E-03      0.25579008E-04
      0.42000000E-01      0.26464176E-03      0.11921706E-03      0.11909390E-03      0.26330803E-04
      0.43000000E-01      0.27219341E-03      0.12261515E-03      0.12248860E-03      0.27089650E-04
      0.44000000E-01      0.27981210E-03      0.12604322E-03      0.12591326E-03      0.27855626E-04
      0.45000000E-01      0.28749855E-03      0.12950157E-03      0.12936817E-03      0.28628809E-04
      0.46000000E-01      0.29525343E-03      0.13299050E-03      0.13285366E-03      0.29409279E-04
      0.47000000E-01      0.30307747E-03      0.13651034E-03      0.13637002E-03      0.30197113E-04
      0.48000000E-01      0.31097137E-03      0.14006140E-03      0.13991758E-03      0.30992394E-04
      0.49000000E-01      0.31893587E-03      0.14364401E-03      0.14349665E-03      0.31795203E-04
      0.50000000E-01      0.32697168E-03      0.14725849E-03      0.14710758E-03      0.32605623E-04
      0.51000000E-01      0.33507957E-03      0.15090516E-03      0.15075068E-03      0.33423738E-04
      0.52000000E-01      0.34326028E-03      0.15458437E-03      0.15442628E-03      0.34249634E-04
      0.53000000E-01      0.35151457E-03      0.15829644E-03      0.15813473E-03      0.35083396E-04
      0.54000000E-01      0.35984321E-03      0.16204173E-03      0.16187637E-03      0.35925112E-04
      0.55000000E-01      0.36824698E-03      0.16582058E-03      0.16565154E-03      0.36774871E-04
      0.56000000E-01      0.37672668E-03      0.16963333E-03      0.16946059E-03      0.37632762E-04
      0.57000000E-01      0.38528311E-03      0.17348035E-03      0.17330388E-03      0.38498876E-04
      0.58000000E-01      0.39391707E-03      0.17736200E-03      0.17718177E-03      0.39373306E-04
      0.59000000E-01      0.40262939E-03      0.18127863E-03      0.18109462E-03      0.40256145E-04
      0.60000000E-01      0.41142090E-03      0.18523061E-03      0.18504280E-03      0.41147488E-04
      0.61000000E-01      0.42029244E-03      0.18921833E-03      0.18902669E-03      0.42047430E-04
      0.62000000E-01      0.42924486E-03      0.19324215E-03      0.19304665E-03      0.42956069E-04
      0.63000000E-01      0.43827904E-03      0.19730246E-03      0.19710307E-03      0.43873504E-04
      0.64000000E-01      0.44739583E-03      0.20139965E-03      0.20119635E-03      0.44799834E-04
      0.65000000E-01      0.45659613E-03      0.20553411E-03      0.20532687E-03      0.45735161E-04
      0.66000000E-01      0.46588084E-03      0.20970623E-03      0.20949503E-03      0.46679587E-04
      0.67000000E-01      0.47525087E-03      0.21391643E-03      0.21370123E-03      0.47633217E-04
      0.68000000E-01      0.48470713E-03      0.21816510E-03      0.21794587E-03      0.48596156E-04
      0.69000000E-01      0.49425056E-03      0.22245266E-03      0.22222939E-03      0.49568511E-04
      0.70000000E-01      0.50388210E-03      0.22677953E-03      0.22655218E-03      0.50550391E-04
      0.71000000E-01      0.51360272E-03      0.23114614E-03      0.23091468E-03      0.51541905E-04
      0.72000000E-01      0.52341337E-03      0.23555290E-03      0.23531731E-03      0.52543165E-04
      0.73000000E-01      0.53331505E-03      0.24000027E-03      0.23976050E-03      0.53554284E-04
      0.74000000E-01      0.54330875E-03      0.24448867E-03      0.24424471E-03      0.54575377E-04
      0.75000000E-01      0.55339547E-03      0.24901855E-03      0.24877037E-03      0.55606559E-04
      0.76000000E-01      0.56357625E-03      0.25359037E-03      0.25333794E-03      0.56647949E-04
      0.77000000E-01      0.57385211E-03      0.25820458E-03      0.25794787E-03      0.57699666E-04
      0.78000000E-01      0.58422410E-03      0.26286165E-03      0.26260062E-03      0.58761832E-04
      0.79000000E-01      0.59469328E-03      0.26756204E-03      0.26729668E-03      0.59834569E-04
      0.80000000E-01      0.60526074E-03      0.27230624E-03      0.27203650E-03      0.60918002E-04
      0.81000000E-01      0.61592756E-03      0.27709473E-03      0.27682059E-03      0.62012257E-04
      0.82000000E-01      0.62669486E-03      0.28192799E-03      0.28164941E-03      0.63117462E-04
      0.83000000E-01      0.63756374E-03      0.28680652E-03      0.28652348E-03      0.64233748E-04
      0.84000000E-01      0.64853535E-03      0.29173082E-03      0.29144329E-03      0.65361247E-04
      0.85000000E-01      0.65961083E-03      0.29670140E-03      0.29640934E-03      0.66500092E-04
      0.86000000E-01      0.67079136E-03      0.30171879E-03      0.30142217E-03      0.67650418E-04
      0.87000000E-01      0.68207812E-03      0.30678349E-03      0.30648228E-03      0.68812364E-04
      0.88000000E-01      0.69347230E-03      0.31189604E-03      0.31159020E-03      0.69986070E-04
      0.89000000E-01      0.70497512E-03      0.31705697E-03      0.31674648E-03      0.71171676E-04
      0.90000000E-01      0.71658781E-03      0.32226683E-03      0.32195166E-03      0.72369327E-04
      0.91000000E-01      0.72831162E-03      0.32752618E-03      0.32720628E-03      0.73579168E-04
      0.92000000E-01      0.74014782E-03      0.33283556E-03      0.33251091E-03      0.74801347E-04
      0.93000000E-01      0.75209768E-03      0.33819555E-03      0.33786612E-03      0.76036015E-04
      0.94000000E-01      0.76416250E-03      0.34360672E-03      0.34327247E-03      0.77283324E-04
      0.95000000E-01      0.77634361E-03      0.34906965E-03      0.34873054E-03      0.78543429E-04
      0.96000000E-01      0.78864235E-03      0.35458493E-03      0.35424094E-03      0.79816485E-04
      0.97000000E-01      0.80106006E-03      0.36015316E-03      0.35980425E-03      0.81102653E-04
      0.98000000E-01      0.81359811E-03      0.36577495E-03      0.36542108E-03      0.82402094E-04
      0.99000000E-01      0.82625791E-03      0.37145090E-03      0.37109204E-03      0.83714972E-04
      0.10000000E+00      0.83904087E-03      0.37718165E-03      0.37681777E-03      0.85041453E-04
      0.10100000E+00      0.85194841E-03      0.38296783E-03      0.38259888E-03      0.86381706E-04
      0.10200000E+00      0.86498199E-03      0.38881007E-03      0.38843603E-03      0.87735902E-04
      0.10300000E+00      0.87814309E-03      0.39470902E-03      0.39432985E-03      0.89104216E-04
      0.10400000E+00      0.89143319E-03      0.40066535E-03      0.40028102E-03      0.90486824E-04
      0.10500000E+00      0.90485381E-03      0.40667972E-03      0.40629018E-03      0.91883905E-04
      0.10600000E+00      0.91840648E-03      0.41275281E-03      0.41235803E-03      0.93295642E-04
      0.10700000E+00      0.93209277E-03      0.41888531E-03      0.41848525E-03      0.94722218E-04
      0.10800000E+00      0.94591425E-03      0.42507790E-03      0.42467253E-03      0.96163822E-04
      0.10900000E+00      0.95987253E-03      0.43133131E-03      0.43092059E-03      0.97620645E-04
      0.11000000E+00      0.97396923E-03      0.43764623E-03      0.43723013E-03      0.99092878E-04
      0.11100000E+00      0.98820600E-03      0.44402341E-03      0.44360188E-03      0.10058072E-03
      0.11200000E+00      0.10025845E-02      0.45046358E-03      0.45003658E-03      0.10208437E-03
      0.11300000E+00      0.10171065E-02      0.45696748E-03      0.45653498E-03      0.10360402E-03
      0.11400000E+00      0.10317736E-02      0.46353587E-03      0.46309784E-03      0.10513990E-03
      0.11500000E+00      0.10465876E-02      0.47016953E-03      0.46972592E-03      0.10669219E-03
      0.11600000E+00      0.10615503E-02      0.47686922E-03      0.47642000E-03      0.10826113E-03
      0.11700000E+00      0.10766635E-02      0.48363575E-03      0.48318087E-03      0.10984691E-03
      0.11800000E+00      0.10919290E-02      0.49046992E-03      0.49000934E-03      0.11144976E-03
      0.11900000E+00      0.11073487E-02      0.49737254E-03      0.49690623E-03      0.11306991E-03
      0.12000000E+00      0.11229243E-02      0.50434443E-03      0.50387235E-03      0.11470757E-03
      0.12100000E+00      0.11386580E-02      0.51138644E-03      0.51090854E-03      0.11636298E-03
      0.12200000E+00      0.11545514E-02      0.51849942E-03      0.51801567E-03      0.11803636E-03
      0.12300000E+00      0.11706068E-02      0.52568422E-03      0.52519458E-03      0.11972797E-03
      0.12400000E+00      0.11868259E-02      0.53294173E-03      0.53244615E-03      0.12143803E-03
      0.12500000E+00      0.12032109E-02      0.54027284E-03      0.53977128E-03      0.12316679E-03
      0.12600000E+00      0.12197638E-02      0.54767844E-03      0.54717086E-03      0.12491450E-03
      0.12700000E+00      0.12364867E-02      0.55515945E-03      0.55464581E-03      0.12668141E-03
      0.12800000E+00      0.12533816E-02      0.56271681E-03      0.56219706E-03      0.12846778E-03
      0.12900000E+00      0.12704509E-02      0.57035144E-03      0.56982556E-03      0.13027386E-03
      0.13000000E+00      0.12876965E-02      0.57806432E-03      0.57753225E-03      0.13209993E-03
      0.13100000E+00      0.13051207E-02      0.58585641E-03      0.58531811E-03      0.13394624E-03
      0.13200000E+00      0.13227259E-02      0.59372870E-03      0.59318412E-03      0.13581308E-03
      0.13300000E+00      0.13405142E-02      0.60168218E-03      0.60113129E-03      0.13770072E-03
      0.13400000E+00      0.13584879E-02      0.60971788E-03      0.60916063E-03      0.13960944E-03
      0.13500000E+00      0.13766495E-02      0.61783683E-03      0.61727317E-03      0.14153954E-03
      0.13600000E+00      0.13950013E-02      0.62604007E-03      0.62546997E-03      0.14349129E-03
      0.13700000E+00      0.14135457E-02      0.63432866E-03      0.63375207E-03      0.14546501E-03
      0.13800000E+00      0.14322852E-02      0.64270369E-03      0.64212056E-03      0.14746098E-03
      0.13900000E+00      0.14512223E-02      0.65116626E-03      0.65057654E-03      0.14947952E-03
      0.14000000E+00      0.14703595E-02      0.65971746E-03      0.65912112E-03      0.15152093E-03
      0.14100000E+00      0.14896994E-02      0.66835844E-03      0.66775543E-03      0.15358554E-03
      0.14200000E+00      0.15092446E-02      0.67709034E-03      0.67648061E-03      0.15567367E-03
      0.14300000E+00      0.15289978E-02      0.68591433E-03      0.68529784E-03      0.15778564E-03
      0.14400000E+00      0.15489616E-02      0.69483158E-03      0.69420829E-03      0.15992178E-03
      0.14500000E+00      0.15691389E-02      0.70384331E-03      0.70321316E-03      0.16208244E-03
      0.14600000E+00      0.15895324E-02      0.71295073E-03      0.71231368E-03      0.16426796E-03
      0.14700000E+00      0.16101448E-02      0.72215508E-03      0.72151108E-03      0.16647869E-03
      0.14800000E+00      0.16309792E-02      0.73145762E-03      0.73080662E-03      0.16871499E-03
      0.14900000E+00      0.16520384E-02      0.74085963E-03      0.74020159E-03      0.17097721E-03
      0.15000000E+00      0.16733254E-02      0.75036241E-03      0.74969728E-03      0.17326573E-03
      0.15100000E+00      0.16948432E-02      0.75996728E-03      0.75929501E-03      0.17558093E-03
      0.15200000E+00      0.17165949E-02      0.76967557E-03      0.76899612E-03      0.17792318E-03
      0.15300000E+00      0.17385835E-02      0.77948866E-03      0.77880198E-03      0.18029287E-03
      0.15400000E+00      0.17608123E-02      0.78940793E-03      0.78871396E-03      0.18269040E-03
      0.15500000E+00      0.17832844E-02      0.79943478E-03      0.79873348E-03      0.18511617E-03
      0.15600000E+00      0.18060032E-02      0.80957064E-03      0.80886196E-03      0.18757058E-03
      0.15700000E+00      0.18289719E-02      0.81981696E-03      0.81910085E-03      0.19005406E-03
      0.15800000E+00      0.18521939E-02      0.83017522E-03      0.82945164E-03      0.19256703E-03
      0.15900000E+00      0.18756726E-02      0.84064692E-03      0.83991581E-03      0.19510992E-03
      0.16000000E+00      0.18994116E-02      0.85123358E-03      0.85049490E-03      0.19768316E-03
      0.16100000E+00      0.19234144E-02      0.86193676E-03      0.86119045E-03      0.20028721E-03
      0.16200000E+00      0.19476846E-02      0.87275802E-03      0.87200403E-03      0.20292252E-03
      0.16300000E+00      0.19722258E-02      0.88369897E-03      0.88293725E-03      0.20558955E-03
      0.16400000E+00      0.19970417E-02      0.89476123E-03      0.89399173E-03      0.20828878E-03
      0.16500000E+00      0.20221362E-02      0.90594645E-03      0.90516913E-03      0.21102067E-03
      0.16600000E+00      0.20475132E-02      0.91725633E-03      0.91647112E-03      0.21378573E-03
      0.16700000E+00      0.20731764E-02      0.92869256E-03      0.92789942E-03      0.21658445E-03
      0.16800000E+00      0.20991300E-02      0.94025688E-03      0.93945576E-03      0.21941733E-03
      0.16900000E+00      0.21253778E-02      0.95195106E-03      0.95114191E-03      0.22228489E-03
      0.17000000E+00      0.21519242E-02      0.96377690E-03      0.96295966E-03      0.22518766E-03
      0.17100000E+00      0.21787732E-02      0.97573622E-03      0.97491085E-03      0.22812617E-03
      0.17200000E+00      0.22059292E-02      0.98783089E-03      0.98699732E-03      0.23110096E-03
      0.17300000E+00      0.22333963E-02      0.10000628E-02      0.99922097E-03      0.23411260E-03
      0.17400000E+00      0.22611792E-02      0.10124338E-02      0.10115837E-02      0.23716164E-03
      0.17500000E+00      0.22892821E-02      0.10249460E-02      0.10240875E-02      0.24024866E-03
      0.17600000E+00      0.23177098E-02      0.10376012E-02      0.10367344E-02      0.24337425E-03
      0.17700000E+00      0.23464668E-02      0.10504015E-02      0.10495263E-02      0.24653900E-03
      0.17800000E+00      0.23755578E-02      0.10633491E-02      0.10624653E-02      0.24974353E-03
      0.17900000E+00      0.24049878E-02      0.10764458E-02      0.10755535E-02      0.25298846E-03
      0.18000000E+00      0.24347614E-02      0.10896940E-02      0.10887931E-02      0.25627442E-03
      0.18100000E+00      0.24648839E-02      0.11030957E-02      0.11021861E-02      0.25960204E-03
      0.18200000E+00      0.24953600E-02      0.11166532E-02      0.11157349E-02      0.26297200E-03
      0.18300000E+00      0.25261952E-02      0.11303687E-02      0.11294416E-02      0.26638496E-03
      0.18400000E+00      0.25573945E-02      0.11442444E-02      0.11433085E-02      0.26984160E-03
      0.18500000E+00      0.25889633E-02      0.11582827E-02      0.11573380E-02      0.27334262E-03
      0.18600000E+00      0.26209071E-02      0.11724861E-02      0.11715324E-02      0.27688872E-03
      0.18700000E+00      0.26532314E-02      0.11868567E-02      0.11858940E-02      0.28048064E-03
      0.18800000E+00      0.26859418E-02      0.12013972E-02      0.12004255E-02      0.28411910E-03
      0.18900000E+00      0.27190440E-02      0.12161100E-02      0.12151292E-02      0.28780487E-03
      0.19000000E+00      0.27525439E-02      0.12309976E-02      0.12300077E-02      0.29153870E-03
      0.19100000E+00      0.27864475E-02      0.12460626E-02      0.12450635E-02      0.29532137E-03
      0.19200000E+00      0.28207607E-02      0.12613077E-02      0.12602993E-02      0.29915370E-03
      0.19300000E+00      0.28554898E-02      0.12767355E-02      0.12757178E-02      0.30303648E-03
      0.19400000E+00      0.28906410E-02      0.12923487E-02      0.12913217E-02      0.30697056E-03
      0.19500000E+00      0.29262206E-02      0.13081501E-02      0.13071138E-02      0.31095677E-03
      0.19600000E+00      0.29622354E-02      0.13241426E-02      0.13230968E-02      0.31499598E-03
      0.19700000E+00      0.29986917E-02      0.13403290E-02      0.13392737E-02      0.31908907E-03
      0.19800000E+00      0.30355965E-02      0.13567122E-02      0.13556473E-02      0.32323695E-03
      0.19900000E+00      0.30729565E-02      0.13732952E-02      0.13722208E-02      0.32744052E-03
      0.20000000E+00      0.31107788E-02      0.13900811E-02      0.13889970E-02      0.33170072E-03
      0.20100000E+00      0.31490706E-02      0.14070730E-02      0.14059792E-02      0.33601851E-03
      0.20200000E+00      0.31878391E-02      0.14242739E-02      0.14231703E-02      0.34039487E-03
      0.20300000E+00      0.32270917E-02      0.14416872E-02      0.14405738E-02      0.34483079E-03
      0.20400000E+00      0.32668360E-02      0.14593160E-02      0.14581928E-02      0.34932729E-03
      0.20500000E+00      0.33070797E-02      0.14771637E-02      0.14760306E-02      0.35388540E-03
      0.20600000E+00      0.33478307E-02      0.14952338E-02      0.14940907E-02      0.35850618E-03
      0.20700000E+00      0.33890968E-02      0.15135296E-02      0.15123765E-02      0.36319072E-03
      0.20800000E+00      0.34308864E-02      0.15320547E-02      0.15308916E-02      0.36794012E-03
      0.20900000E+00      0.34732077E-02      0.15508127E-02      0.15496395E-02      0.37275551E-03
      0.21000000E+00      0.35160692E-02      0.15698073E-02      0.15686239E-02      0.37763804E-03
      0.21100000E+00      0.35594795E-02      0.15890421E-02      0.15878486E-02      0.38258888E-03
      0.21200000E+00      0.36034475E-02      0.16085210E-02      0.16073172E-02      0.38760925E-03
      0.21300000E+00      0.36479820E-02      0.16282479E-02      0.16270338E-02      0.39270036E-03
      0.21400000E+00      0.36930924E-02      0.16482267E-02      0.16470023E-02      0.39786347E-03
      0.21500000E+00      0.37387879E-02      0.16684614E-02      0.16672267E-02      0.40309987E-03
      0.21600000E+00      0.37850781E-02      0.16889562E-02      0.16877111E-02      0.40841087E-03
      0.21700000E+00      0.38319726E-02      0.17097152E-02      0.17084597E-02      0.41379779E-03
      0.21800000E+00      0.38794815E-02      0.17307428E-02      0.17294767E-02      0.41926202E-03
      0.21900000E+00      0.39276148E-02      0.17520432E-02      0.17507666E-02      0.42480494E-03
      0.22000000E+00      0.39763828E-02      0.17736210E-02      0.17723338E-02      0.43042800E-03
      0.22100000E+00      0.40257961E-02      0.17954806E-02      0.17941828E-02      0.43613265E-03
      0.22200000E+00      0.40758654E-02      0.18176267E-02      0.18163183E-02      0.44192038E-03
      0.22300000E+00      0.41266016E-02      0.18400640E-02      0.18387449E-02      0.44779273E-03
      0.22400000E+00      0.41780161E-02      0.18627973E-02      0.18614675E-02      0.45375125E-03
      0.22500000E+00      0.42301201E-02      0.18858316E-02      0.18844910E-02      0.45979754E-03
      0.22600000E+00      0.42829254E-02      0.19091717E-02      0.19078204E-02      0.46593324E-03
      0.22700000E+00      0.43364438E-02      0.19328229E-02      0.19314609E-02      0.47216003E-03
      0.22800000E+00      0.43906875E-02      0.19567904E-02      0.19554175E-02      0.47847960E-03
      0.22900000E+00      0.44456689E-02      0.19810795E-02      0.19796957E-02      0.48489371E-03
      0.23000000E+00      0.45014006E-02      0.20056956E-02      0.20043009E-02      0.49140415E-03
      0.23100000E+00      0.45578957E-02      0.20306443E-02      0.20292387E-02      0.49801276E-03
      0.23200000E+00      0.46151672E-02      0.20559312E-02      0.20545147E-02      0.50472140E-03
      0.23300000E+00      0.46732287E-02      0.20815621E-02      0.20801346E-02      0.51153199E-03
      0.23400000E+00      0.47320939E-02      0.21075429E-02      0.21061045E-02      0.51844651E-03
      0.23500000E+00      0.47917770E-02      0.21338797E-02      0.21324303E-02      0.52546695E-03
      0.23600000E+00      0.48522922E-02      0.21605786E-02      0.21591182E-02      0.53259539E-03
      0.23700000E+00      0.49136543E-02      0.21876459E-02      0.21861745E-02      0.53983392E-03
      0.23800000E+00      0.49758783E-02      0.22150880E-02      0.22136056E-02      0.54718471E-03
      0.23900000E+00      0.50389794E-02      0.22429115E-02      0.22414180E-02      0.55464996E-03
      0.24000000E+00      0.51029734E-02      0.22711230E-02      0.22696185E-02      0.56223194E-03
      0.24100000E+00      0.51678763E-02      0.22997294E-02      0.22982140E-02      0.56993297E-03
      0.24200000E+00      0.52337044E-02      0.23287378E-02      0.23272113E-02      0.57775543E-03
      0.24300000E+00      0.53004745E-02      0.23581552E-02      0.23566176E-02      0.58570175E-03
      0.24400000E+00      0.53682036E-02      0.23879889E-02      0.23864404E-02      0.59377442E-03
      0.24500000E+00      0.54369093E-02      0.24182464E-02      0.24166869E-02      0.60197600E-03
      0.24600000E+00      0.55066093E-02      0.24489354E-02      0.24473649E-02      0.61030912E-03
      0.24700000E+00      0.55773221E-02      0.24800636E-02      0.24784821E-02      0.61877645E-03
      0.24800000E+00      0.56490662E-02      0.25116389E-02      0.25100465E-02      0.62738075E-03
      0.24900000E+00      0.57218607E-02      0.25436697E-02      0.25420663E-02      0.63612485E-03
      0.25000000E+00      0.57957254E-02      0.25761640E-02      0.25745498E-02      0.64501164E-03
      0.25100000E+00      0.58706800E-02      0.26091305E-02      0.26075054E-02      0.65404409E-03
      0.25200000E+00      0.59467452E-02      0.26425780E-02      0.26409420E-02      0.66322524E-03
      0.25300000E+00      0.60239418E-02      0.26765152E-02      0.26748684E-02      0.67255822E-03
      0.25400000E+00      0.61022912E-02      0.27109512E-02      0.27092938E-02      0.68204623E-03
      0.25500000E+00      0.61818155E-02      0.27458955E-02      0.27442274E-02      0.69169256E-03
      0.25600000E+00      0.62625369E-02      0.27813576E-02      0.27796788E-02      0.70150059E-03
      0.25700000E+00      0.63444786E-02      0.28173471E-02      0.28156578E-02      0.71147377E-03
      0.25800000E+00      0.64276639E-02      0.28538740E-02      0.28521742E-02      0.72161567E-03
      0.25900000E+00      0.65121170E-02      0.28909487E-02      0.28892385E-02      0.73192992E-03
      0.26000000E+00      0.65978625E-02      0.29285814E-02      0.29268609E-02      0.74242029E-03
      0.26100000E+00      0.66849257E-02      0.29667830E-02      0.29650522E-02      0.75309060E-03
      0.26200000E+00      0.67733324E-02      0.30055643E-02      0.30038233E-02      0.76394483E-03
      0.26300000E+00      0.68631091E-02      0.30449366E-02      0.30431856E-02      0.77498701E-03
      0.26400000E+00      0.69542828E-02      0.30849112E-02      0.30831503E-02      0.78622133E-03
      0.26500000E+00      0.70468815E-02      0.31255001E-02      0.31237293E-02      0.79765206E-03
      0.26600000E+00      0.71409334E-02      0.31667152E-02      0.31649347E-02      0.80928360E-03
      0.26700000E+00      0.72364679E-02      0.32085688E-02      0.32067787E-02      0.82112048E-03
      0.26800000E+00      0.73335148E-02      0.32510735E-02      0.32492740E-02      0.83316735E-03
      0.26900000E+00      0.74321047E-02      0.32942423E-02      0.32924335E-02      0.84542898E-03
      0.27000000E+00      0.75322691E-02      0.33380884E-02      0.33362705E-02      0.85791028E-03
      0.27100000E+00      0.76340401E-02      0.33826254E-02      0.33807985E-02      0.87061632E-03
      0.27200000E+00      0.77374507E-02      0.34278671E-02      0.34260314E-02      0.88355227E-03
      0.27300000E+00      0.78425349E-02      0.34738279E-02      0.34719836E-02      0.89672350E-03
      0.27400000E+00      0.79493273E-02      0.35205223E-02      0.35186695E-02      0.91013548E-03
      0.27500000E+00      0.80578635E-02      0.35679653E-02      0.35661043E-02      0.92379390E-03
      0.27600000E+00      0.81681800E-02      0.36161722E-02      0.36143033E-02      0.93770455E-03
      0.27700000E+00      0.82803144E-02      0.36651588E-02      0.36632821E-02      0.95187343E-03
      0.27800000E+00      0.83943050E-02      0.37149413E-02      0.37130571E-02      0.96630672E-03
      0.27900000E+00      0.85101913E-02      0.37655360E-02      0.37636446E-02      0.98101076E-03
      0.28000000E+00      0.86280139E-02      0.38169602E-02      0.38150617E-02      0.99599209E-03
      0.28100000E+00      0.87478143E-02      0.38692310E-02      0.38673259E-02      0.10112574E-02
      0.28200000E+00      0.88696351E-02      0.39223665E-02      0.39204549E-02      0.10268137E-02
      0.28300000E+00      0.89935202E-02      0.39763849E-02      0.39744673E-02      0.10426682E-02
      0.28400000E+00      0.91195146E-02      0.40313050E-02      0.40293816E-02      0.10588280E-02
      0.28500000E+00      0.92476644E-02      0.40871461E-02      0.40852174E-02      0.10753010E-02
      0.28600000E+00      0.93780173E-02      0.41439281E-02      0.41419944E-02      0.10920948E-02
      0.28700000E+00      0.95106218E-02      0.42016713E-02      0.41997330E-02      0.11092176E-02
      0.28800000E+00      0.96455281E-02      0.42603966E-02      0.42584540E-02      0.11266776E-02
      0.28900000E+00      0.97827878E-02      0.43201254E-02      0.43181790E-02      0.11444834E-02
      0.29000000E+00      0.99224536E-02      0.43808797E-02      0.43789299E-02      0.11626440E-02
      0.29100000E+00      0.10064580E-01      0.44426822E-02      0.44407295E-02      0.11811683E-02
      0.29200000E+00      0.10209223E-01      0.45055561E-02      0.45036010E-02      0.12000659E-02
      0.29300000E+00      0.10356440E-01      0.45695253E-02      0.45675683E-02      0.12193465E-02
      0.29400000E+00      0.10506290E-01      0.46346143E-02      0.46326559E-02      0.12390200E-02
      0.29500000E+00      0.10658834E-01      0.47008483E-02      0.46988892E-02      0.12590968E-02
      0.29600000E+00      0.10814135E-01      0.47682532E-02      0.47662939E-02      0.12795877E-02
      0.29700000E+00      0.10972256E-01      0.48368557E-02      0.48348968E-02      0.13005037E-02
      0.29800000E+00      0.11133265E-01      0.49066832E-02      0.49047254E-02      0.13218563E-02
      0.29900000E+00      0.11297229E-01      0.49777638E-02      0.49758077E-02      0.13436571E-02
      0.30000000E+00      0.11464218E-01      0.50501266E-02      0.50481729E-02      0.13659184E-02
      0.30100000E+00      0.11634305E-01      0.51238012E-02      0.51218508E-02      0.13886529E-02
      0.30200000E+00      0.11807564E-01      0.51988184E-02      0.51968719E-02      0.14118735E-02
